Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-5.5,-0.2059,0.01057,0.00512,-0.0867,0.8633,0.0328
-5.25,-0.1791,0.01026,0.00476,-0.0864,0.8543,0.0334
-5,-0.1523,0.00999,0.00443,-0.0862,0.845,0.0341
-4.75,-0.1255,0.00972,0.00409,-0.0859,0.8348,0.0346
-4.5,-0.0985,0.00947,0.00378,-0.0856,0.8253,0.035
-4.25,-0.0714,0.00926,0.0035,-0.0854,0.8165,0.0354
-4,-0.044,0.00908,0.00327,-0.0852,0.8067,0.0357
-3.75,-0.0175,0.0087,0.00281,-0.0849,0.7972,0.0369
-3.5,0.0096,0.00847,0.00252,-0.0846,0.7879,0.0381
-3.25,0.0371,0.0083,0.00232,-0.0845,0.7787,0.0394
-3,0.0645,0.00818,0.00214,-0.0843,0.7689,0.0407
-2.75,0.0922,0.00806,0.00199,-0.0841,0.7587,0.0422
-2.5,0.1198,0.00796,0.00184,-0.084,0.7486,0.044
-2.25,0.1471,0.00784,0.0017,-0.0838,0.7388,0.0488
-2,0.1747,0.00767,0.0016,-0.0837,0.7297,0.0659
-1.75,0.202,0.00752,0.00151,-0.0835,0.7209,0.093
-1.5,0.2293,0.00737,0.00143,-0.0834,0.7112,0.121
-1.25,0.2564,0.00718,0.00137,-0.0833,0.7019,0.1672
-1,0.2833,0.00701,0.00133,-0.0831,0.6927,0.2229
-0.75,0.3107,0.00686,0.00131,-0.083,0.6834,0.2696
-0.5,0.338,0.00677,0.0013,-0.0829,0.6741,0.309
-0.25,0.3651,0.00664,0.00128,-0.0828,0.6638,0.3575
0,0.3918,0.00645,0.00128,-0.0826,0.6533,0.4324
0.25,0.4171,0.00614,0.0013,-0.0822,0.6422,0.5591
0.5,0.4408,0.00578,0.00134,-0.0814,0.6307,0.7081
0.75,0.4632,0.00547,0.00141,-0.08,0.6194,0.8388
1,0.4866,0.00538,0.0015,-0.0786,0.6079,0.9226
1.25,0.5201,0.00546,0.00157,-0.0796,0.595,0.9665
1.5,0.56,0.00558,0.00162,-0.0821,0.5805,0.9856
1.75,0.6022,0.00572,0.00167,-0.0853,0.5639,0.9946
2,0.6464,0.00585,0.00171,-0.0889,0.5456,1
2.25,0.6708,0.00598,0.00176,-0.0882,0.5297,1
2.5,0.6949,0.00612,0.00182,-0.0874,0.5128,1
2.75,0.7187,0.00628,0.00189,-0.0866,0.4935,1
3,0.7423,0.00647,0.00198,-0.0857,0.472,1
3.25,0.765,0.00672,0.00209,-0.0847,0.4436,1
3.5,0.787,0.00702,0.00223,-0.0836,0.4086,1
3.75,0.8091,0.00733,0.00238,-0.0825,0.3791,1
4,0.8326,0.00757,0.00252,-0.0816,0.3604,1
4.25,0.8567,0.00779,0.00267,-0.0809,0.3459,1
4.5,0.881,0.00801,0.00282,-0.0802,0.3335,1
4.75,0.906,0.00819,0.00296,-0.0797,0.3242,1
5,0.9314,0.00836,0.00311,-0.0793,0.3174,1
5.25,0.957,0.00852,0.00325,-0.0788,0.3109,1
5.5,0.9822,0.00872,0.00342,-0.0784,0.3038,1
5.75,1.0081,0.00886,0.00357,-0.078,0.2974,1
6,1.033,0.00909,0.00375,-0.0775,0.2894,1
6.25,1.059,0.00923,0.0039,-0.0772,0.2817,1
6.5,1.084,0.00945,0.00408,-0.0768,0.2718,1
6.75,1.109,0.00966,0.00426,-0.0763,0.2614,1
7,1.1341,0.00988,0.00445,-0.0759,0.25,1
7.25,1.1584,0.01014,0.00466,-0.0754,0.2364,1
7.5,1.1816,0.01048,0.00491,-0.0747,0.2176,1
7.75,1.2028,0.01097,0.00525,-0.0737,0.1896,1
8.25,1.2407,0.01224,0.00619,-0.071,0.1327,1
8.5,1.2606,0.01279,0.00663,-0.0699,0.1136,1
8.75,1.2805,0.01333,0.00708,-0.0687,0.0988,1
9,1.3008,0.01381,0.00752,-0.0676,0.088,1
9.25,1.3208,0.0143,0.00796,-0.0665,0.079,1
9.5,1.3401,0.01481,0.00841,-0.0653,0.0698,1
9.75,1.3571,0.01539,0.00893,-0.0636,0.0573,1
10,1.3618,0.01664,0.00992,-0.0602,0.0254,1
10.25,1.3715,0.01761,0.01085,-0.0575,0.0168,1
10.5,1.3856,0.01831,0.01159,-0.0555,0.0149,1
10.75,1.4007,0.01897,0.0123,-0.0538,0.0139,1
11,1.4136,0.01976,0.01313,-0.0519,0.013,1
11.25,1.4236,0.02077,0.01422,-0.0497,0.0121,1
11.5,1.4375,0.02154,0.01504,-0.0481,0.0118,1
11.75,1.4503,0.02239,0.01595,-0.0464,0.0113,1
12,1.4619,0.02335,0.01697,-0.0447,0.0109,1
12.25,1.4724,0.02441,0.01809,-0.0431,0.0105,1
12.5,1.481,0.02565,0.01939,-0.0413,0.0101,1
12.75,1.4847,0.02733,0.02115,-0.0393,0.0097,1
13,1.4888,0.02903,0.02295,-0.0375,0.0094,1
13.25,1.4985,0.03033,0.02432,-0.0363,0.0092,1
13.5,1.5063,0.03185,0.02591,-0.0352,0.0089,1
13.75,1.5122,0.03356,0.0277,-0.034,0.0087,1
14,1.5169,0.03546,0.02968,-0.0329,0.0085,1
14.25,1.5205,0.03753,0.03183,-0.032,0.0083,1
14.5,1.5231,0.03975,0.03412,-0.0312,0.0081,1
14.75,1.524,0.04222,0.03668,-0.0305,0.0079,1
15,1.5231,0.045,0.03955,-0.0299,0.0078,1
15.25,1.5193,0.04819,0.04284,-0.0296,0.0076,1
15.5,1.5118,0.05198,0.04673,-0.0295,0.0075,1
15.75,1.5001,0.05647,0.05134,-0.0298,0.0074,1
16,1.4855,0.06151,0.05651,-0.0304,0.0073,1
16.25,1.4724,0.06656,0.06168,-0.0312,0.0072,1
16.5,1.4677,0.07059,0.06582,-0.032,0.0072,1
16.75,1.4609,0.075,0.07033,-0.0331,0.0071,1
17,1.4527,0.07967,0.07511,-0.0342,0.0071,1
17.25,1.4435,0.08463,0.08017,-0.0356,0.007,1
17.5,1.4336,0.08975,0.0854,-0.0372,0.0069,1
17.75,1.4229,0.09504,0.09079,-0.0388,0.0069,1
18,1.4117,0.1005,0.09635,-0.0407,0.0068,1
